Time	Step	submit
1562522155.130029	50	4.976808
1562522155.130029	50	4.976808
1562522155.637714	51	4.979127
1562522155.637714	51	4.979127
1562522156.126261	52	4.981214
1562522156.126261	52	4.981214
1562522156.626763	53	4.983093
1562522156.626763	53	4.983093
1562522157.146622	54	5.055460
1562522157.146622	54	5.055460
1562522157.673477	55	6.049914
1562522157.673477	55	6.049914
1562522158.182852	56	6.944923
1562522158.182852	56	6.944923
1562522158.681350	57	7.750431
1562522158.681350	57	7.750431
1562522159.143540	58	8.475388
1562522159.143540	58	8.475388
1562522159.670031	59	9.127849
1562522159.670031	59	9.127849
1562522160.178778	60	9.715064
1562522160.178778	60	9.715064
1562522160.671237	61	10.243558
1562522160.671237	61	10.243558
1562522161.171861	62	10.719202
1562522161.171861	62	10.719202
1562522161.680635	63	11.147282
1562522161.680635	63	11.147282
1562522162.206992	64	11.532553
1562522162.206992	64	11.532553
1562522162.675413	65	11.879298
1562522162.675413	65	11.879298
1562522163.184547	66	12.191368
1562522163.184547	66	12.191368
1562522163.724838	67	12.472231
1562522163.724838	67	12.472231
1562522164.216990	68	12.725008
1562522164.216990	68	12.725008
1562522164.724177	69	12.952507
1562522164.724177	69	12.952507
1562522165.226636	70	13.157257
1562522165.226636	70	13.157257
1562522165.758332	71	13.341531
1562522165.758332	71	13.341531
1562522166.240580	72	13.507378
1562522166.240580	72	13.507378
1562522166.774136	73	13.656640
1562522166.774136	73	13.656640
1562522167.559124	74	13.790976
1562522167.559124	74	13.790976
1562522168.056789	75	13.911879
1562522168.056789	75	13.911879
1562522168.515715	76	14.020691
1562522168.515715	76	14.020691
1562522168.924395	77	14.118622
1562522168.924395	77	14.118622
1562522169.310399	78	14.206759
1562522169.310399	78	14.206759
1562522169.913178	79	14.286084
1562522169.913178	79	14.286084
1562522170.335185	80	14.357475
1562522170.335185	80	14.357475
1562522170.769332	81	14.421728
1562522170.769332	81	14.421728
1562522171.294961	82	14.479555
1562522171.294961	82	14.479555
1562522171.823835	83	14.531599
1562522171.823835	83	14.531599
1562522172.316932	84	14.578439
1562522172.316932	84	14.578439
1562522172.792393	85	14.620596
1562522172.792393	85	14.620596
1562522173.312903	86	14.658536
1562522173.312903	86	14.658536
1562522173.823915	87	14.692682
1562522173.823915	87	14.692682
1562522174.297525	88	14.723414
1562522174.297525	88	14.723414
1562522174.806692	89	14.751073
1562522174.806692	89	14.751073
1562522175.338699	90	14.775965
1562522175.338699	90	14.775965
1562522175.840472	91	14.798369
1562522175.840472	91	14.798369
1562522176.354600	92	14.818532
1562522176.354600	92	14.818532
1562522176.835751	93	14.836679
1562522176.835751	93	14.836679
1562522177.347424	94	14.853011
1562522177.347424	94	14.853011
1562522177.885756	95	14.867710
