Time	Step	dispense
1562522171.823340	83	0.046741
1562522171.823340	83	0.046741
1562522172.316486	84	0.042067
1562522172.316486	84	0.042067
1562522172.791936	85	0.037860
1562522172.791936	85	0.037860
1562522173.312443	86	0.034074
1562522173.312443	86	0.034074
1562522173.823457	87	0.030667
1562522173.823457	87	0.030667
1562522174.297079	88	0.027600
1562522174.297079	88	0.027600
1562522174.806237	89	0.024840
1562522174.806237	89	0.024840
1562522175.338246	90	0.022356
1562522175.338246	90	0.022356
1562522175.840022	91	0.020120
1562522175.840022	91	0.020120
1562522176.354080	92	0.018108
1562522176.354080	92	0.018108
1562522176.835300	93	0.016297
1562522176.835300	93	0.016297
1562522177.346963	94	0.014668
1562522177.346963	94	0.014668
1562522177.885264	95	0.013201
1562522177.885264	95	0.013201
1562522178.336373	96	0.011881
1562522178.336373	96	0.011881
1562522178.876028	97	0.010693
1562522178.876028	97	0.010693
1562522179.368866	98	0.009623
1562522179.368866	98	0.009623
1562522179.856282	99	0.008661
1562522179.856282	99	0.008661
1562522180.345004	100	0.007795
1562522180.345004	100	0.007795
1562522180.879934	101	0.007016
1562522180.879934	101	0.007016
1562522181.358658	102	0.006314
1562522181.358658	102	0.006314
1562522181.849177	103	0.005683
1562522181.849177	103	0.005683
1562522182.414928	104	0.005114
1562522182.414928	104	0.005114
1562522182.895367	105	0.004603
1562522182.895367	105	0.004603
1562522183.412719	106	0.004143
1562522183.412719	106	0.004143
1562522183.869421	107	0.003728
1562522183.869421	107	0.003728
1562522184.360739	108	0.003355
1562522184.360739	108	0.003355
1562522184.870821	109	0.003020
1562522184.870821	109	0.003020
1562522185.362915	110	0.002718
1562522185.362915	110	0.002718
1562522185.925641	111	0.002446
1562522185.925641	111	0.002446
1562522186.369213	112	0.002202
1562522186.369213	112	0.002202
1562522186.894008	113	0.001981
1562522186.894008	113	0.001981
1562522187.423789	114	0.001783
1562522187.423789	114	0.001783
1562522187.947054	115	0.001605
1562522187.947054	115	0.001605
1562522188.433175	116	0.001444
1562522188.433175	116	0.001444
1562522188.925636	117	0.001300
1562522188.925636	117	0.001300
1562522189.409997	118	0.001170
1562522189.409997	118	0.001170
1562522189.922037	119	0.001053
1562522189.922037	119	0.001053
1562522190.404026	120	0.000948
1562522190.404026	120	0.000948
1562522190.901140	121	0.000853
1562522190.901140	121	0.000853
1562522191.438466	122	0.000768
1562522191.438466	122	0.000768
1562522191.982722	123	0.000691
1562522191.982722	123	0.000691
1562522192.458551	124	0.000622
1562522192.458551	124	0.000622
1562522192.944732	125	0.000560
1562522192.944732	125	0.000560
1562522193.433622	126	0.000504
1562522193.433622	126	0.000504
1562522193.979010	127	0.000453
1562522193.979010	127	0.000453
1562522194.431177	128	0.000408
1562522194.431177	128	0.000408
1562522194.932414	129	0.000367
1562522194.932414	129	0.000367
1562522195.435510	130	0.000330
1562522195.435510	130	0.000330
1562522195.945072	131	0.000297
1562522195.945072	131	0.000297
1562522196.516986	132	0.000268
1562522196.516986	132	0.000268
1562522196.985796	133	0.000241
1562522196.985796	133	0.000241
1562522197.454694	134	0.000217
1562522197.454694	134	0.000217
1562522198.013652	135	0.000195
1562522198.013652	135	0.000195
1562522198.489052	136	0.000176
1562522198.489052	136	0.000176
1562522198.998149	137	0.000158
1562522198.998149	137	0.000158
1562522199.478648	138	0.000142
1562522199.478648	138	0.000142
1562522199.970834	139	0.000128
1562522199.970834	139	0.000128
1562522200.480809	140	0.000115
1562522200.480809	140	0.000115
1562522200.997118	141	0.000104
1562522200.997118	141	0.000104
1562522201.477596	142	0.000093
1562522201.477596	142	0.000093
1562522202.027626	143	0.000084
1562522202.027626	143	0.000084
1562522202.510354	144	0.000076
1562522202.510354	144	0.000076
1562522203.016157	145	0.000068
1562522203.016157	145	0.000068
1562522203.527808	146	0.000061
1562522203.527808	146	0.000061
1562522204.013203	147	0.000055
1562522204.013203	147	0.000055
1562522204.548337	148	0.000050
1562522204.866774	149	0.000000
1562522204.971555	150	0.000000
1562522205.093023	151	0.000000
